Map: Shrine Ruins | Difficulty: easy | Target: Jagras | Objective: Slay 8 Jagras | Description: Those in-fur-nal Jagras keep messing with my visits to the Shrine Ruins. They're after the offur-ings I bring with me, those rude, blasphemous fiends! Send them running with their tails between their legs!
Map: Frost Islands | Difficulty: easy | Target: Tetranadon | Objective: Hunt a Tetranadon | Description: During a survey of the Frost Islands, I was attacked by a Tetranadon and found myself inside its gut! I managed to escape, but others might not be so lucky. Please hunt it before someone gets eaten!
Map: Sandy Plains | Difficulty: easy | Target: Kulu-Ya-Ku | Objective: Hunt a Kulu-Ya-Ku | Description: Blasted Kulu-Ya-Ku always stealing my Wyvern Eggs! I've tried and tried to make my way through the Sandy Plains but they get the jump on me every single time!
Map: Sandy Plains | Difficulty: easy | Target: Barroth | Objective: Hunt a Barroth | Description: Ptoeey! Look at me! Covered from head to toe in mud! All because a stupid Barroth attacked me! Now all the mushrooms I gathered are ruined! Just great! Can you go and bash that Barroth, please!?
Map: Flooded Forest | Difficulty: easy | Target: Great Goss Harag | Objective: Hunt a Great Goss Harag | Description: Oh dear... The lord's son heard a Great Goss Harag was in the Flooded Forest and went out to hunt it. What a fool. Surely he'll run at the first sign of danger. Can you hunt the creature before my lord gets hurt.
Map: Flooded Forest | Difficulty: easy | Target: Royal Ludroth | Objective: Hunt a Royal Ludroth | Description: You know how Royal Ludroth hide is all spongey and absorbs lots of water, right? If we get a bunch of it, then desert farmers will never have to worry about watering their crops ever again! I. AM. A. GENIUS!
Map: Shrine Ruins | Difficulty: easy | Target: Aknosom | Objective: Hunt a Aknosom | Description: I'm sorry Hunter... Those Buddies heard that there were "ghosts" at the Shrine Ruins and ran off. I'm so worried about them with that Aknosom around. Can you hunt it while I go look for them!?
Map: Shrine Ruins | Difficulty: easy | Target: None | Objective: Deliver 6 Classic Drango Ingredients | Description: HELP! My supplier was ambushed by monsters, and dropped all their cargo on the way back to Kamura! It was near the Shrine Ruinsâ€”here, I'll mark it on your map, so can you get those ingredients back? Pleeease!?
Map: Frost Islands | Difficulty: easy | Target: Khezu | Objective: Hunt a Khezu | Description: Gross! There I was, taking a rest, when something wet dripped on my shoulder. I look up andâ€”EW! Wrinkles, veins, andâ€”ICKâ€”a pale monster with no face that looks like aâ€” *gag* Go hunt it PLEASE!
Map: Sandy Plains | Difficulty: easy | Target: None | Objective: Deliver 10 Bauble Cactus | Description: This cactus diet has taken over my life. Cactus salad, cactus steak, cactus smoothiesâ€” you name it! But now I'm all out of Bauble Cactuses... Cacti? Whatever! Just go get me some!
Map: Sandy Plains | Difficulty: easy | Target: Great Baggi | Objective: Slay a total of 14 Great Baggi or Great Baggi | Description: What a twist! I was attacked by some strange barking creatures, but in my desperation to escape, I could not clearly identify my assailants... Hunter, please, help me solve this riddle!
Map: Flooded Forest | Difficulty: easy | Target: None | Objective: Deliver 10 Simple Prisms | Description: Do you know of Simple Prisms? They call it a prism, but it's really a small animal fossil. That's what Father said. I've never seen a fossil, so I'd like to take a look at it. Please find one for me.
Map: Flooded Forest | Difficulty: easy | Target: Ludroth | Objective: Slay 10 Ludroth | Description: I was looking for my lost husband in the Flooded Forest when I was attacked. I had heard tales of sirens dressed in yellow in the waters there. If I am to ever find my husband, I will need them gone.
Map: Frost Islands | Difficulty: medium | Target: Somnacanth | Objective: Hunt a Somnacanth | Description: I was tasked to hunt a so-called "Mermaid Dragon," in the Frost Islands. Upon arriving, I heard what sounded like a song and instantly fell asleep. I woke up back at camp covered in gashes and cuts. What happened out there!?
Map: Frost Islands | Difficulty: medium | Target: Barioth | Objective: Hunt a Barioth | Description: The area surrounding the Frost Islands is scarce in food as it is and now a Barioth has been spotted in the area. Surely we will starve if this nuisance isn't dealt with!
Map: Sandy Plains | Difficulty: medium | Target: Rathian | Objective: Hunt a Rathian | Description: Woohoo! Ohhh man! The queen of the Sandy Plains is spewing fire everywhere! She burned all my stuffâ€”even set my pants on fire, too! Haha! Wait...that's not funny... *ahem* Please hunt that Rathian!
Map: Flooded Forest | Difficulty: medium | Target: Tobi-Kadachi | Objective: Hunt a Tobi-Kadachi | Description: I was out exploring in the Flooded Forest, when suddenly, lightning struck. I looked to the sky and saw something zipping and zapping from tree to tree! I got away some- how, but others might not be so lucky. Please, do something!
Map: Lava Caverns | Difficulty: medium | Target: Volvidon | Objective: Hunt a Volvidon | Description: Can you hear that? The perfect melody of flowing lava, smoldering ash, and the bassy rumblings of the volcano all accompanied by the sound of Volvidon rolling around. Bravo! BRAVO!
Map: Lava Caverns | Difficulty: medium | Target: Basarios | Objective: Hunt a Basarios | Description: Dude... I'm freaking out. Every time I go to the Lava Caverns, I keep hearing this creepy voice. Like, I look around, and no one is there! No one! Uh, can you go and check it out for me? I know I'm not crazy!
Map: Shrine Ruins | Difficulty: medium | Target: Bishaten | Objective: Hunt a Bishaten | Description: In order to separate Magnamalo from the Rampage, I need to complete my device. In order to do that, I need materials from a Bishaten. One has been spotted in the Shrine Ruins. Depart at once!
Map: Lava Caverns | Difficulty: medium | Target: None | Objective: Deliver 6 Secret Dango Ingredients | Description: I was cutting through the Lava Caverns one night when, out of nowhere, there was this SPOOKY roar! I freaked, dropped all my ingredients, and now...I'm way too scared to go back for them. Can you, um, go instead?
Map: Flooded Forest | Difficulty: medium | Target: Pukei-Pukei | Objective: Hunt a Pukei-Pukei | Description: My research is everything to me! And this new antidote research shall be my legacy! In order to continue my work, I'll need you to fetch me a Pukei-Pukei specimen. But you'll need to bring your own antidotes...
Map: Sandy Plains | Difficulty: medium | Target: None | Objective: Deliver 5 Monster Guts | Description: Me and my pals are having a few drinks tonight, and we're hankerin' after some monster liver with 'em. Thing is, it's ONLY good when it's rawâ€”and I ain't eating raw liver if it ain't fresh! Think you can hook us up?
Map: Lava Caverns | Difficulty: medium | Target: None | Objective: Deliver 12 pieces of Coal | Description: Where I'm from, if you want to make good equipment, ya gotta use lots of Coal. Maybe Kamura has some fancy pants way of doing it without coal, but we ain't got the facilities like you folks do here. Can you go get me some?
Map: Lava Caverns | Difficulty: medium | Target: Rachnoid | Objective: Slay 10 Rachnoid | Description: My daddy's THE BEST and I want to make THE BEST gloves for him. Mommy says that Rachnoid thread is THE BEST for making gloves so... Can you go and fight a few for me and bring me the thread? You'd be THE BEST if you did!
Map: Arena | Difficulty: medium | Target: Arzuros, Tetranadon | Objective: Hunt all target monsters | Description: "In the right corner, Arzuros! And in the left corner, Tetranadon!" Oh! You're here too!? Uh... "In the middle, you!" How's that? Yeah, uh, good luck! Hope you win!
Map: Shrine Ruins | Difficulty: medium | Target: Nargacuga | Objective: Hunt a Nargacuga | Description: Nargacuga are so cool, right? And fast too! How is it that they are so light on their feet!? I MUST know! I bet if I made some Nargacuga shoes I could be just as fast as they are!
Map: Shrine Ruins | Difficulty: medium | Target: Zinogre | Objective: Hunt a Zinogre | Description: During a survey of the Shrine Ruins, I was struck by a bolt of lightning. At first, I thought perhaps some genius idea had come to fruition, but alas it was only a Zinogre...
Map: Sandy Plains | Difficulty: medium | Target: Anjanath | Objective: Hunt a Anjanath | Description: The Plains at night are quite elegant and inspiring... But someone or someTHING is following me. I feel so afraid that all my ideas and emotions are simply swept away! Please get rid of this stalker!
Map: Flooded Forest | Difficulty: medium | Target: Mizutsune | Objective: Hunt a Mizutsune | Description: O, how elegantly the Mizutsune steps, arcing through the air... It must be the fin! If I had one for my own, surely I could dance as it does too... I know! Hunter! Waltz with the wyvern, and I shall seize its fin!
Map: Lava Caverns | Difficulty: medium | Target: Rathalos | Objective: Hunt a Rathalos | Description: [REPORT BEGINS] Rathalos spotted in the Lava Caverns [STOP] Requesting support from all qualified hunters [STOP] Look out for the rain of fire from the sky [REPORT ENDS]
Map: Shrine Ruins | Difficulty: medium | Target: Magnamalo | Objective: Hunt a Magnamalo | Description: Durin' the Rampage fifty years ago, Magnamalo showed up and caused an epic mess. We can't let that happen ever again. You gotta take down Magnamalo! Now go get to it!
Map: Frost Islands | Difficulty: medium | Target: Somnacanth | Objective: Hunt a Somnacanth | Description: So my idea is to make these new Bunny Dango that'll refresh you just like a power nap would. But to do that, I need you to capture a Somnacanth so I can use its song to make a recipe! I love you and please!
Map: Frost Islands | Difficulty: medium | Target: Khezu, Somnacanth | Objective: Hunt a Khezu and a Somnacanth | Description: My boyfriend is straight trippin'. He thinks that Somnacanth are cuter than Khezu. HELLO! Obviously Khezu are but he won't budge. Well, if he won't see it my way, then I guess we'll let you settle this!
Map: Sandy Plains | Difficulty: medium | Target: Kulu-Ya-Ku, Anjanath | Objective: Hunt a Kulu-Ya-Ku and an Anjanath | Description: These monsters are so annoying! First it was that bird-brain trying to peck me to death, then it was that pink snozz-o-saurus trying to blow mucus all over me. Wish those two would keep their noses out of my business! ARGH!
Map: Lava Caverns | Difficulty: medium | Target: Tetranadon, Volvidon | Objective: Hunt a Tetranadon and a Volvidon | Description: A Volvidon rammed into a Tetranadon! I don't know what they were fighting over, but it was amazing! Until they came rolling my way and almost turned me into roadkill! Leave me outta this, will ya!
Map: Shrine Ruins | Difficulty: hard | Target: Almudron | Objective: Hunt an Almudron | Description: An Almudron is makin' a real mess of things in the Shrine Ruins. They usually just keep to themselves up in the mountains... Could just be another effect of the Rampage Either way, we can't let it get any closer to the village. Now get to it!
Map: Frost Islands | Difficulty: hard | Target: Goss Harag | Objective: Hunt an Goss Harag | Description: A monster in the Frost Islands has been roaring after dark. The cries have terrified my child, who now refuses to go to the toilet alone at night! Please, help us if you can!
Map: Frost Islands | Difficulty: hard | Target: Tigrex | Objective: Hunt an Tigrex | Description: I hear roars echoing all over, no idea where they come from. I fear it might be a Tigrex! Wherever I hide, the growling follows. Please, I beg of you... Hunt the source of that sound before it catches up with me!
Map: Sandy Plains | Difficulty: hard | Target: Diablos | Objective: Hunt an Diablos | Description: Those horns are so cool! Fit for a name like "Diablos" for sure, with that twisted shape. I'd love to get my hands on one and craft my store sign from it. I bet it'd do wonders for business!
Map: Shrine Ruins | Difficulty: hard | Target: Magnamalo, Zinogre | Objective: Hunt Magnamalo and a Zinogre | Description: I'm no scaredy cat but the Shrine Ruins are haunted! HAUNTED, I tell ya! There was this big scary shadow with fireballs all around it and a ghost glowing in the distance surround by souls! Even meow I get chills just thinking about it! HELP!
Map: Flooded Forest | Difficulty: hard | Target: Tobi-Kadachi, Mizutsune | Objective: Hunt a Tobi-Kadachi and a Mizutsune | Description: Here's a favor for ya, rookie, from me. There's a Mizutsune and a Tobi-Kadachi dukin' it out in the Flooded Forest, and I'm lettin' YOU have at 'em! I'm feelin', uh...charitable today. Y-Yeah. Well, good luck!
Map: Lava Caverns | Difficulty: hard | Target: Rathalos, Tigrex | Objective: Hunt a Rathalos and a Tigrex | Description: My subordinates had enough of their harsh missions and rebelled. I was forced to take responsibility and demoted to the Lava Caverns. I need to get better at my job, but to do so I need to survive first! Help!
Map: Arena | Difficulty: hard | Target: Rajang, Bazelgeuse, Magnamalo | Objective: Hunt all target monsters | Description: A Rajang, a Bazelgeuse, and Magnamalo all waitin' for ya in the Arena! Sky's the limit if you can outdo this trio. So aim sky-high, Squirt! Bwahaha!
Map: Shrine Ruins | Difficulty: easy | Target: Aknosom | Objective: Hunt an Aknosom | Description: SAy tHeRe, hUNter~ eVEr sEeN A mOnSTeR tHAt hOPs oN One lEg? i hAvE...aND i'Ve nEveR bEen tHe sAMe sINcEâ€”Hahaha! *hack* Those old ghost stories don't scare me none. HOW ABOUT YOU!?
Map: Shrine Ruins | Difficulty: easy | Target: Kulu-Ya-Ku | Objective: Hunt a Kulu-Ya-Ku | Description: Thinks he's number one, does he? Just because he snatched my Gold Gargwa Egg? Well, you're gonna show him. You got that!? I'm number one around here. I'M NUMBER ONE!
Map: Frost Islands | Difficulty: easy | Target: Great Baggi | Objective: Hunt a Great Baggi | Description: Psst! Hey, pal. I just got ruffed up by a gang of Baggi and their "great" bozo leader. They took my pouch, my zennyâ€”even my pants! Think ya could do me a solid and take care of 'em for me? And maybe, uh, get me some pants too, huh?
Map: Frost Islands | Difficulty: easy | Target: Great Baggi | Objective: Hunt a Great Baggi | Description: YUCK! Fur-st a Great Baggi *sniff* spits all over me! *sniff* THEN I fall asleep out in the Frost Islands, and now *sniff* I think I'm coming down with something! Nya...Nya... *sniff* Nya...NYACHOO! *sniff*
Map: Frost Islands | Difficulty: easy | Target: Lagombi | Objective: Hunt a Lagombi | Description: I absolutely cannot believe how awful my luck is. No way that thing could've hit me! There I was...bobbing...weaving. Zigging...zagging. Just when I thought I had gotten away from this Lagombi *BAM* me and all my goods crushed by a snowball. Unbelievable...
Map: Shrine Ruins | Difficulty: easy | Target: Great Goss Harag | Objective: Hunt a Great Goss Harag | Description: I was out on my morning jog through the Ruins and out pops a Great Goss Harag spittin' poison all over my new running shoes. What is wrong with these monsters!? Hunter, please avenge my shoes, would you?
Map: Shrine Ruins | Difficulty: easy | Target: Arzuros | Objective: Hunt a Arzuros | Description: What are we gonna do, Hunter? WHAT ARE WE GONNA DO!? An Arzuros attacked the latest delivery of honey into Kamura and now there are no sweetsâ€” WHAT!? Who cares if they are OK! Did you hear me? NO SWEETS!
Map: Shrine Ruins | Difficulty: easy | Target: Baggi, Kulu-Ya-Ku | Objective: Slay a total of 20 Baggi or Kulu-Ya-Ku | Description: My friend and I heard about this amazing secret spot up in the Shrine Ruins where you can relax and watch the Torchbugs glow. We wanted to take a hike up there and check it out, but there's a bunch of monsters in the way...
Map: Frost Islands | Difficulty: easy | Target: Rajang, Tetranadon | Objective: Slay a total of 20 Rajang or Tetranadon | Description: I heard from my brother's mother's cousin that the Frost Islands are crawling with monsters these days. And get this, my mailman's uncle was just ruffed up out there the other day. It used to be such a nice place. Wish someone'd do something about it...
Map: Flooded Forest | Difficulty: easy | Target: Bishaten | Objective: Hunt a Bishaten | Description: I was coming home FUR-OM WORK when suddenly I SAW A BISHATEN spinning on its TAIL AND SUDDENLY it started spinning AROUND ME! Then everything STARTED SPINNING! And then I started SPINNING! AND meow I can't stop! PLEASE HELP!
Map: Sandy Plains | Difficulty: easy | Target: Pukei-Pukei | Objective: Hunt a Pukei-Pukei | Description: Master Utsushi does those monster impressions, right? Maybe if I, like, learned one, we'd have something in common. I bet I could do Pukei-Pukei. Seems easy. I'm already pretty good at sticking out my tongue. If you hunt one for me, I can watch and take notes!
Map: Flooded Forest | Difficulty: easy | Target: Royal Ludroth | Objective: Hunt a Royal Ludroth | Description: It's utter chaos! Our couriers are under attack from a Royal Ludroth and its mates! "Mates" as in females, by the way, not frieâ€”wait, that doesn't evenâ€” Look, we just need you to hunt that Royal Ludroth ASAP!
Map: Sandy Plains | Difficulty: easy | Target: Barroth | Objective: Hunt a Barroth | Description: "You're so hardheaded, you'd put a Barroth to shame!" Heh, can you believe my wife said that to me? She thinks my head's harder than a Barroth's! There's no way! So I'm goin' out to get me a Barroth skull to prove it! And ain't no one gonna change my mind!
Map: Frost Islands | Difficulty: easy | Target: Khezu | Objective: Hunt a Khezu | Description: "So...so...cold... Whiskers fur-ozen... Tail fur-ozen... Pawsâ€” Wha...What's that? A fur-iendly smile? So...warm...meow... Everything...warmâ€”" (The diary ends there. You feel compelled to rescue its owner.)
Map: Sandy Plains | Difficulty: easy | Target: Volvidon | Objective: Hunt a Volvidon | Description: Wheels get stuck in the sand, limiting trade across deserts; and yet, Volvidon traverse the Plains with easeâ€”wait, that's it! Allow me to observe how a Volvidon rolls, and I shall design an unstoppable wheel!
Map: Sandy Plains | Difficulty: easy | Target: Basarios | Objective: Hunt a Basarios | Description: *cough* Dang Basarios! *wheeze* One minute you're sittin' on what you thought was a rock, tryin' to get the dirt out of yer boots, *hack* and the next, you're huffin' *cough* all kinds of who-knows-what! *hack*
Map: Sandy Plains | Difficulty: easy | Target: Rathian | Objective: Hunt a Rathian | Description: Oh, what I wouldn't give to be a queen! "Queen of the Land"? Who wouldn't love a title like that!? Perhaps I may learn a thing or two from the queen herself! Valiant Knight of Kamura! I order you to hunt a Rathian!
Map: Shrine Ruins | Difficulty: easy | Target: Tetranadon | Objective: Hunt a Tetranadon | Description: Me and my big mouth... I saw a picture of a Tetranadon and blurted out "It looks exactly like Master Hojo!" He overheard me and now he thinks I was talking about a Mizutsune! If he finds out the truth, he'll croak!
Map: Elder's Recess | Difficulty: easy | Target: None | Objective: Defend the final gate | Description: Well then, Hunter, the Rampage is nearing Kamura. The villages will defend the areas surrounding the Stronghold, while you fend off any monsters that make it in. Johoho! Good luck!
Map: Sandy Plains | Difficulty: easy | Target: Kestodon | Objective: Slay 20 Kestodon | Description: What do I do? WHAT DO I DO!? There's Kestodon all around me! Here, there, yonder, whitherâ€” they're everywhere, I tell ya, EVERYWHERE! Even in my mind! There's nowhere left to run! You gotta stop 'em before it's too late!
Map: Flooded Forest | Difficulty: easy | Target: Jagras, Ludroth | Objective: Slay a total of 20 Jagras or Ludroth | Description: Darling, a special order has come in for a very special client and I'm all out of materials. Be a dear and fetch some for me, will you? Only the finest materials will do. None of that faux nonsense! Now, off you go!
Map: Frost Islands | Difficulty: easy | Target: Lagombi, Tetranadon | Objective: Hunt a Lagombi and a Tetranadon | Description: I haven't slept in days and it's all because of those two stupid monsters. Fighting all day... Fighting all night! They never let up! The roaring. The rumbling. I can't take it anymore! Please, I need some sleep! SHUT THEM UP!
Map: Flooded Forest | Difficulty: easy | Target: Royal Ludroth, Rathian | Objective: Hunt a Royal Ludroth and a Rathian | Description: I tend to ignore these little "tiffs" between monsters while out in the field. Especially since I have a special cloak to protect me. But it becomes increasingly difficult to ignore when the forest is flooding and burning at the same time...
Map: Flooded Forest | Difficulty: easy | Target: Somnacanth | Objective: Hunt a Somnacanth | Description: I've been suffering from insomnia... So I figured, hey, why don't I create a sedative using Somnacanth powder? At this point, I don't care how crazy it sounds. Just get me that powder, please.
Map: Frost Islands | Difficulty: easy | Target: Goss Harag | Objective: Hunt a Goss Harag | Description: Yo, I heard those Goss Harag's can turn their arms into these sick ice blades that'll carve a hunter up like, "Shwa! Shwa! Shwashwashwa SHWA!" Dude, I gotta see it! Come on, go pick a fight with one! Just, uh, don't get all "shwa-shwa-shwa"-ed up out there!
Map: Shrine Ruins | Difficulty: easy | Target: Tobi-Kadachi | Objective: Hunt a Tobi-Kadachi | Description: Blargh! I was trying to hunt a stupid Tobi-Kadachi but the squirrely monster just wouldn't stay still! When I finally got an opening to strike, it scurried off and hid in a tree! Is it gonna come down anytime soon? You know what? I'm outta here! I don't got all day for this!
Map: Sandy Plains | Difficulty: easy | Target: Almudron | Objective: Hunt a Almudron | Description: Doggone Almudron! That thing came through the farm slingin' its mud all over the dern place. Now there's mud all over my dern crops. All in my dern house. Heck, even got mud in my dern pants! Well, least the Poogies is happy...
Map: Lava Caverns | Difficulty: easy | Target: Anjanath | Objective: Hunt a Anjanath | Description: I can see why that Anjanath likes to bully all those little monsters. Them Raths always pickin' on 'em for having those li'l stubby "wings" and a funny lookin' schnoz. But that don't make it right. I don't like bullies. And I won't have any of it!
Map: Shrine Ruins | Difficulty: easy | Target: Nargacuga | Objective: Hunt a Nargacuga | Description: It was a quiet night in the Ruins; that's when I saw two red stars glowing in the darkness. I felt a gust of wind, and the next thing I knew, I awoke on a hospital bed. I did not know such frightening things exist out there...
Map: Flooded Forest | Difficulty: easy | Target: Mizutsune | Objective: Hunt a Mizutsune | Description: My husband is one of those artsy- fartsy types, you know the kind. Sees a sunset...cries. Well, he heard Mizutsune are "creatures that inspire creativity" so he ran off with his easel to find one. *sigh* Can you go save him for me?
Map: Lava Caverns | Difficulty: easy | Target: Rathalos | Objective: Hunt a Rathalos | Description: Meow, I've seen my share of Raths before. Never thought they were that tough, just fly around and yowl at ya. Mewboy, I was so wrong... I got the big idea to take one on, paw-to-claw, and it one only took one fireball for me to hightail it out of there! Youch!
Map: Frost Islands | Difficulty: easy | Target: Barioth | Objective: Hunt a Barioth | Description: I am a warrior, roaming these lands to hone my skills. I've come to the Islands to observe the so-called "White Knight." I long to challenge it, however, it is custom in my country to allow you the honor first. Have at it, brave Hunter!
Map: Flooded Forest | Difficulty: easy | Target: Zinogre | Objective: Hunt a Zinogre | Description: My guards have turned craven after hearing of a Zinogre in the area. Nonetheless, I must press on through the Forest, no matter what... Which is why I implore you, brave Hunter, to vanquish the beast instead.
Map: Lava Caverns | Difficulty: easy | Target: Tigrex | Objective: Hunt a Tigrex | Description: My Popo, Posey, is my best friend. She helps me every day and is the sweetest companion I've ever had. A Tigrex was spotted along my trade route and you know what they do to Popo... Hunter, please. I can't lose Posey. If I lose her, I lose everything!
Map: Sandy Plains | Difficulty: easy | Target: Diablos | Objective: Hunt a Diablos | Description: A buddy of mine told me about this "great shortcut" he found. The road was so bumpy I fell off my cart right into a cactus patch. And to make matters worse, a Diablos appeared out of nowhere and turned my cart into splinters... Why do these things always happen to me!?
Map: Lava Caverns | Difficulty: easy | Target: Magnamalo | Objective: Hunt a Magnamalo | Description: That dreadful Magnamalo has been spotted! Quick, Hunter, you must leap into action at once! We cannot allow it to feed on the hordes or it may become too powerful to defeat! No time to waste! Hop to it-to it!
Map: Shrine Ruins | Difficulty: easy | Target: Bishaten, Almudron | Objective: Hunt a Bishaten and an Almudron | Description: Both Bishaten and Almudron are known for using their powerful tails when they attack. I'm collecting information on these monsters. Could you possibly assist me? I need to ascertain which tail is stronger. The one like a fist, or the one like a whip?
Map: Frost Islands | Difficulty: easy | Target: Tigrex, Goss Harag | Objective: Hunt a Tigrex and a Goss Harag | Description: Oh meow! A Tigrex and a Goss Harag are going berserk out in the Frost Islands! If someone doesn't stop 'em, the island's gonna get carved up like a scratching post! Help!
Map: Arena | Difficulty: easy | Target: Barroth, Tobi-Kadachi, Magnamalo | Objective: Hunt all target monsters | Description: Ah. A Barroth, Tobi-Kadachi, and Magnamaloâ€”quite the trio. Is anyone capable of dancing with three such aggressive partners, one after the other? If you intend to take to this stage, I'll be your audience.
Map: Shrine Ruins | Difficulty: medium | Target: Great Baggi | Objective: Hunt a Great Baggi | Description: For crying out loud! I moved near the Shrine Ruins because it was a nice and quiet neighborhood... Now there's a Great Baggi and its little gang making a ruckus. I tried to give 'em a piece of my mind but they pulled their blades on me! Hunter, please get rid of 'em!
Map: Shrine Ruins | Difficulty: medium | Target: Arzuros, Kulu-Ya-Ku | Objective: Hunt an Arzuros and a Kulu-Ya-Ku | Description: You're kidding me! Why's there gotta be an Arzuros AND a Kulu-Ya-Ku on my route when I've got honey and eggs to deliver!? Is this some kind of punishment from the gods!?
Map: Frost Islands | Difficulty: medium | Target: Great Baggi, Great Baggi | Objective: Hunt 2 Great Baggi | Description: I can take a Great Baggi, no problemo! But TWO!? Nobody said anything about two of 'em! I mean, maybe if I had like a heads up or something, I'd be alright. Someone should have told me! Whatâ€”!? It's written in the quest description? Come on! Nobody reads that stuff!
Map: Shrine Ruins | Difficulty: medium | Target: Aknosom | Objective: Hunt an Aknosom | Description: Help, Hunter! I just saw this su-purr creepy umbrella monster! I tried to get close to see if it was real or if I was just i-meow-gining it and it tried to attack me! I've never been more tra-mew-tized in all my nine lives! Make it go away!
Map: Frost Islands | Difficulty: medium | Target: Tetranadon | Objective: Hunt an Tetranadon | Description: Oh~yeah! You're going nowhere. I've got you for fifty minutes...Fifty minutes of huntin' time! Heard this Tetranadon was out there talkin' smack. You gonna stand there and take that!? Or are ya gonna go out there and put 'em in a world of hurt!?
Map: Frost Islands | Difficulty: medium | Target: Lagombi | Objective: Hunt an Lagombi | Description: I have this Felyne friend, and she got all scared about some big fluffy bunny. But I don't get it, 'cause bunnies are supposed to be cute! Can you go check it out so she'll stop being such a scaredy-cat?
Map: Frost Islands | Difficulty: medium | Target: Khezu | Objective: Hunt an Khezu | Description: I was out fishing; everything dark and gloomy. When suddenly down flew a Khezu; slimy and gooey. Horrified to find there were no eyes that would twinkle, only a blubbery neck...veiny and wrinkled.
Map: Frost Islands | Difficulty: medium | Target: Baggi, Baggi | Objective: Slay a total of 20 Baggi or Baggi | Description: I heard the Frost Islands are crawling with Baggi and Baggi! My ingredients supplier will be passing through there and the last thing I want is for them to get pounced on by some dumb monsters! Could you maybe go and check it out, pleeeeeeease?
Map: Frost Islands | Difficulty: medium | Target: Aknosom | Objective: Capture an Aknosom | Description: Alright, Ace, lesson time! An Aknosom makes clever use of its big crest to fight, right? Understand how to maneuver around these kinds of attacks and you'll learn the very essence of the sword & shield!
Map: Shrine Ruins | Difficulty: medium | Target: Kulu-Ya-Ku, Kulu-Ya-Ku | Objective: Hunt 2 Kulu-Ya-Ku | Description: A pair of Kulu-Ya-Ku is after the eggs I had dibs on for my dango! No fair, AND rude! But if you can keep them occupied, I can grab the eggs before they eat 'em. You'll help me out, right? Right?
