answer_time	part_id	quest_id	type	game_knowledge	has_played	grammar	syntax	coherence	suitable	information	comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	How coherent is the quest? Grade on a scale from 1 to 5.	Grade how suitable the language used is for this kind of quest.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments	Grade the grammar (spelling mistakes etc...).	Grade the syntax (is the word order correct? are the verbs well conjugated? etc)	Grade how suitable the language used is for this kind of quest.	How coherent is the quest? Grade on a scale from 1 to 5.	According to you, does the quest contain enough information? (goal, tasks etc...)	Additional comments
2024/02/26 4:19:11 PM UTC+4	2	4	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/26 4:19:11 PM UTC+5	2	5	real	1	FALSE	5	4	3	5	4																																																							
2024/02/26 4:19:11 PM UTC+6	2	6	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/26 4:19:11 PM UTC+7	2	7	real	1	FALSE	5	5	4	5	4																																																							
2024/02/26 4:19:11 PM UTC+8	2	8	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/26 4:19:11 PM UTC+9	2	9	real	1	FALSE	5	5	5	5	5																																																							
2024/02/26 4:19:11 PM UTC+10	2	10	generated	1	FALSE	5	5	5	3	3																																																							
2024/02/26 9:47:28 PM UTC+1	3	1	real	1	FALSE	5	4	3	4	2		5	5	5	5	3		5	5	5	5	3		5	5	5	5	5		4	5	5	5		5	5	5	5	5	5		4	5	5	5	4		4	5	5	5	5		4	5	5	5	5		4	5	5	5	5	
2024/02/26 9:47:28 PM UTC+2	3	2	generated	1	FALSE	5	5	5	5	3																																																							
2024/02/26 9:47:28 PM UTC+3	3	3	real	1	FALSE	5	5	5	5	3																																																							
2024/02/26 9:47:28 PM UTC+4	3	4	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/26 9:47:28 PM UTC+5	3	5	real	1	FALSE	4	5	5	5	5																																																							
2024/02/26 9:47:28 PM UTC+6	3	6	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/26 9:47:28 PM UTC+7	3	7	real	1	FALSE	4	5	5	5	4																																																							
2024/02/26 9:47:28 PM UTC+8	3	8	generated	1	FALSE	4	5	5	5	5																																																							
2024/02/26 9:47:28 PM UTC+9	3	9	real	1	FALSE	4	5	5	5	5																																																							
2024/02/26 9:47:28 PM UTC+10	3	10	generated	1	FALSE	4	5	5	5	5																																																							
2024/02/26 10:32:22 PM UTC+1	4	1	real	5	TRUE	5	3	5	4	5		5	5	4	5	5	i wish the quest giver would also mention the kulu-ya-ku but that's just personal preference. i don't believe the monster hunter games always mention all the monsters in the quest.	5	5	2	3	5	I don't believe hunting 4 monsters including a lunastra and a ruiner nergigante is considered a "medium difficulty" but yeah, i'd at least grade this very difficult.  Also, I find this very weird as a last quest. It'd usually be a standalone monster, like a shagaru magala or a xeno'jiiva or two ancient dragons or whatever so this seems like a pretty weird set of monsters to me.	5	5	3	5	5	again, deviljho as an easy difficulty is pretty weird to me. Also, I think the sentence could be worded better than "one of our members may or may not have been seen in the Ancient Forest"	5	5	2	3	I'm not sure I understand what the correlation between the tigrex and the boy's growth is. Also, the objective says to Hunt all target monsters even though there's only one monster. I think that's a typo?	5	5	1	5	5	5	1. What Commander of this expedition? why is the person talking about a commander and then about the subspecies right after? it doesn't make sense. Also, the difficulty is set as 'difficult' but the monster is only an uragaan. Maybe if it had some kind of special trait i'd understand but this is kinda weird	3	5	5	5	5	iirc, the game's quests never say "Hunt monster 1 and 2" but "Hunt all target monsters" when there's more than one. I may be wrong though.	5	5	1	2	3	Not the 7 diablos being medium difficulty lol Also the quest description makes no sense cause it mentions the Jungle even though it takes place in the arena. Also why does it say "Hunter, please find out for me" out of nowhere? find what?	5	4	1	3	5	in what kind of infernal and nightmarish monster game would you hunt 20 rajangs in 1 quest?????????? also easy difficulty again??? and why would the person say "my brother's mother's cousin" instead of literally "my mother's cousin"? i understand the intended humor but it doesn't work with your own brother lol also, the end of the quest doesn't make sense	5	5	5	1	5	- the quest can honestly be easy difficult if it's only slaying a royal ludroth - why is the hunter talking about the arena and using the provided equipment when it's taking place in the jungle
2024/02/26 10:32:22 PM UTC+2	4	2	generated	5	TRUE	5	5	4	5	5	i wish the quest giver would also mention the kulu-ya-ku but that's just personal preference. i don't believe the monster hunter games always mention all the monsters in the quest.																																																						
2024/02/26 10:32:22 PM UTC+3	4	3	real	5	TRUE	5	5	2	3	5	I don't believe hunting 4 monsters including a lunastra and a ruiner nergigante is considered a "medium difficulty" but yeah, i'd at least grade this very difficult.  Also, I find this very weird as a last quest. It'd usually be a standalone monster, like a shagaru magala or a xeno'jiiva or two ancient dragons or whatever so this seems like a pretty weird set of monsters to me.																																																						
2024/02/26 10:32:22 PM UTC+4	4	4	generated	5	TRUE	5	5	3	5	5	again, deviljho as an easy difficulty is pretty weird to me. Also, I think the sentence could be worded better than "one of our members may or may not have been seen in the Ancient Forest"																																																						
2024/02/26 10:32:22 PM UTC+5	4	5	real	5	TRUE	5	5	2	3	5	I'm not sure I understand what the correlation between the tigrex and the boy's growth is. Also, the objective says to Hunt all target monsters even though there's only one monster. I think that's a typo?	5	4	2	4	4		5	5	5	5	5		5	5	5	5	5		5	4	1	3		5	5	3	5	3	5		5	5	4	5	4		5	5	2	3	4		5	5	1	4	4		5	5	5	2	4	
2024/02/26 10:32:22 PM UTC+6	4	6	generated	5	TRUE	5	5	1	5	5	What Commander of this expedition? why is the person talking about a commander and then about the subspecies right after? it doesn't make sense. Also, the difficulty is set as 'difficult' but the monster is only an uragaan. Maybe if it had some kind of special trait i'd understand but this is kinda weird	4	4	4	4	4		4	4	4	4	4		4	4	4	4	4		4	4	4	4		4	4	4	4	4	4		4	4	4	4	4		4	4	4	4	4		4	4	4	4	4		4	4	4	4	4	
2024/02/26 10:32:22 PM UTC+7	4	7	real	5	TRUE	3	5	5	5	5	iirc, the game's quests never say "Hunt monster 1 and 2" but "Hunt all target monsters" when there's more than one. I may be wrong though.	5	5	1	5	1	The Kulu-Ya-Ku monster seems irrelevant judging by the description	5	5	3	5	4		5	4	5	5	4		5	5	1	3		5	5	3	3	1	2		5	5	5	4	4		5	5	4	4	5		5	5	2	3	2	"my brother's mother" so your mother	5	5	4	1	1	What equipment are we talking about?
2024/02/26 10:32:22 PM UTC+8	4	8	generated	5	TRUE	5	5	1	2	3	Not the 7 diablos being medium difficulty lol Also the quest description makes no sense cause it mentions the Jungle even though it takes place in the arena. Also why does it say "Hunter, please find out for me" out of nowhere? find what?	4	4	3	3	3		4	4	3	4	3		3	4	4	4	4		4	4	4	4		4	4	4	4	4	4		4	4	4	4	4		4	4	4	4	4		4	4	4	4	4		3	3	4	4	4	
2024/02/26 10:32:22 PM UTC+9	4	9	real	5	TRUE	5	4	1	3	5	in what kind of infernal and nightmarish monster game would you hunt 20 rajangs in 1 quest?????????? also easy difficulty again??? and why would the person say "my brother's mother's cousin" instead of literally "my mother's cousin"? i understand the intended humor but it doesn't work with your own brother lol also, the end of the quest doesn't make sense																																																						
2024/02/26 10:32:22 PM UTC+10	4	10	generated	5	TRUE	5	5	5	1	5	- the quest can honestly be easy difficult if it's only slaying a royal ludroth - why is the hunter talking about the arena and using the provided equipment when it's taking place in the jungle																																																						
2024/02/27 12:01:46 AM UTC+1	5	1	real	4	TRUE	4	3	1	3	4		5	5	3	4	5		5	5	5	5	5		5	5	1	3	3		5	5	3	5		5	4	3	5	5	5		5	5	5	5	5		5	4	5	5	5		4	3	3	5	5		5	5	5	4	5	
2024/02/27 12:01:46 AM UTC+2	5	2	generated	4	TRUE	5	4	2	4	4																																																							
2024/02/27 12:01:46 AM UTC+3	5	3	real	4	TRUE	5	5	5	5	5																																																							
2024/02/27 12:01:46 AM UTC+4	5	4	generated	4	TRUE	5	5	5	5	5																																																							
2024/02/27 12:01:46 AM UTC+5	5	5	real	4	TRUE	5	4	1	3	3																																																							
2024/02/27 12:01:46 AM UTC+6	5	6	generated	4	TRUE	5	5	3	5	5																																																							
2024/02/27 12:01:46 AM UTC+7	5	7	real	4	TRUE	5	5	4	5	4																																																							
2024/02/27 12:01:46 AM UTC+8	5	8	generated	4	TRUE	5	5	2	3	4																																																							
2024/02/27 12:01:46 AM UTC+9	5	9	real	4	TRUE	5	5	1	4	4																																																							
2024/02/27 12:01:46 AM UTC+10	5	10	generated	4	TRUE	5	5	5	2	4																																																							
2024/02/27 4:33:20 PM UTC+1	6	1	real	3	TRUE	3	3	4	5	5		5	4	2	4	1		4	4	4	5	3		5	5	5	5	5		4	4	1	1		5	5	3	4	1	3		5	5	3	3	2		4	4	3	1	3		5	4	4	4	4		4	4	1	4	4	
2024/02/27 4:33:20 PM UTC+2	6	2	generated	3	TRUE	4	4	4	4	4		5	4	2	4	1		4	4	4	5	3		5	5	5	5	5		4	4	1	1		5	5	3	4	1	3		5	5	3	3	2		4	4	3	1	3		5	4	4	4	4		4	4	1	4	4	
2024/02/27 4:33:20 PM UTC+3	6	3	real	3	TRUE	4	4	4	4	4																																																							
2024/02/27 4:33:20 PM UTC+4	6	4	generated	3	TRUE	4	4	4	4	4																																																							
2024/02/27 4:33:20 PM UTC+5	6	5	real	3	TRUE	4	4	4	4	4																																																							
2024/02/27 4:33:20 PM UTC+6	6	6	generated	3	TRUE	4	4	4	4	4																																																							
2024/02/27 4:33:20 PM UTC+7	6	7	real	3	TRUE	4	4	4	4	4																																																							
2024/02/27 4:33:20 PM UTC+8	6	8	generated	3	TRUE	4	4	4	4	4																																																							
2024/02/27 4:33:20 PM UTC+9	6	9	real	3	TRUE	4	4	4	4	4																																																							
2024/02/27 4:33:20 PM UTC+10	6	10	generated	3	TRUE	4	4	4	4	4																																																							
2024/02/27 7:28:20 PM UTC+1	7	1	real	2	TRUE	4	5	3	3	2		5	5	3	5	3	There's no mention of Kulu-Ya-Ku in the description.	5	5	4	5	5	Lavasioth is not as dangerous as elder dragons, and three elder dragons make a hard quest, not a medium quest.	4	3	3	5	5	Deviljho and "easy" in the same quest ?	5	5	3	5	"Hunt all target monsters" doesn't suit for this quest since there's only one target.	5	5	5	5	5	5		5	5	5	5	5		5	5	3	5	5	7 Diablos, why not, but the quest takes place in an arena, and the description says they're in the jungle, where Diablos don't live.	5	5	2	5	5	Rajang is not easy at all, and asking the player to slay a very hard monster OR a very easy one is not coherent.	5	5	3	5	5	The description suits an arena quest, not a common quest in the jungle, and Royal Ludroth is not that hard.
2024/02/27 7:28:20 PM UTC+2	7	2	generated	2	TRUE	5	5	1	5	1	The Kulu-Ya-Ku monster seems irrelevant judging by the description 																																																						
2024/02/27 7:28:20 PM UTC+3	7	3	real	2	TRUE	5	5	3	5	4																																																							
2024/02/27 7:28:20 PM UTC+4	7	4	generated	2	TRUE	5	4	5	5	4																																																							
2024/02/27 7:28:20 PM UTC+5	7	5	real	2	TRUE	5	5	1	3	1																																																							
2024/02/27 7:28:20 PM UTC+6	7	6	generated	2	TRUE	5	5	3	3	2																																																							
2024/02/27 7:28:20 PM UTC+7	7	7	real	2	TRUE	5	5	5	4	4																																																							
2024/02/27 7:28:20 PM UTC+8	7	8	generated	2	TRUE	5	5	4	4	5																																																							
2024/02/27 7:28:20 PM UTC+9	7	9	real	2	TRUE	5	5	2	3	2	"my brother's mother" so your mother 																																																						
2024/02/27 7:28:20 PM UTC+10	7	10	generated	2	TRUE	5	5	4	1	1	What equipment are we talking about?																																																						
2024/02/27 8:35:06 PM UTC+1	8	1	real	1	FALSE	4	4	4	5	5		4	3	2	4	2		4	4	1	2	2		4	4	4	4	4		3	4	2	2		5	5	5	5	2	5		4	4	2	3	3		4	4	4	4	4		4	4	3	3	3		4	4	4	4	4	
2024/02/27 8:35:06 PM UTC+2	8	2	generated	1	FALSE	4	4	3	3	3																																																							
2024/02/27 8:35:06 PM UTC+3	8	3	real	1	FALSE	4	4	3	4	3																																																							
2024/02/27 8:35:06 PM UTC+4	8	4	generated	1	FALSE	3	4	4	4	4																																																							
2024/02/27 8:35:06 PM UTC+5	8	5	real	1	FALSE	4	4	4	4	4																																																							
2024/02/27 8:35:06 PM UTC+6	8	6	generated	1	FALSE	4	4	4	4	4																																																							
2024/02/27 8:35:06 PM UTC+7	8	7	real	1	FALSE	4	4	4	4	4																																																							
2024/02/27 8:35:06 PM UTC+8	8	8	generated	1	FALSE	4	4	4	4	4																																																							
2024/02/27 8:35:06 PM UTC+9	8	9	real	1	FALSE	4	4	4	4	4																																																							
2024/02/27 8:35:06 PM UTC+10	8	10	generated	1	FALSE	3	3	4	4	4																																																							
2024/02/27 9:12:03 PM UTC+1	9	1	real	5	TRUE	5	4	5	4	5																																																							
2024/02/27 9:12:03 PM UTC+2	9	2	generated	5	TRUE	5	5	3	4	5																																																							
2024/02/27 9:12:03 PM UTC+3	9	3	real	5	TRUE	5	5	5	5	5																																																							
2024/02/27 9:12:03 PM UTC+4	9	4	generated	5	TRUE	5	5	1	3	3																																																							
2024/02/27 9:12:03 PM UTC+5	9	5	real	5	TRUE	5	5	3	5	5																																																							
2024/02/27 9:12:03 PM UTC+6	9	6	generated	5	TRUE	5	4	3	5	5																																																							
2024/02/27 9:12:03 PM UTC+7	9	7	real	5	TRUE	5	5	5	5	5																																																							
2024/02/27 9:12:03 PM UTC+8	9	8	generated	5	TRUE	5	4	5	5	5																																																							
2024/02/27 9:12:03 PM UTC+9	9	9	real	5	TRUE	4	3	3	5	5																																																							
2024/02/27 9:12:03 PM UTC+10	9	10	generated	5	TRUE	5	5	5	4	5																																																							
2024/02/27 9:31:01 PM UTC+1	10	1	real	1	FALSE	4	2	3	1	3																																																							
2024/02/27 9:31:01 PM UTC+2	10	2	generated	1	FALSE	5	4	2	4	1																																																							
2024/02/27 9:31:01 PM UTC+3	10	3	real	1	FALSE	4	4	4	5	3																																																							
2024/02/27 9:31:01 PM UTC+4	10	4	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/27 9:31:01 PM UTC+5	10	5	real	1	FALSE	4	4	1	1	1																																																							
2024/02/27 9:31:01 PM UTC+6	10	6	generated	1	FALSE	5	5	3	4	3																																																							
2024/02/27 9:31:01 PM UTC+7	10	7	real	1	FALSE	5	5	3	3	2																																																							
2024/02/27 9:31:01 PM UTC+8	10	8	generated	1	FALSE	4	4	3	1	3																																																							
2024/02/27 9:31:01 PM UTC+9	10	9	real	1	FALSE	5	4	4	4	4																																																							
2024/02/27 9:31:01 PM UTC+10	10	10	generated	1	FALSE	4	4	1	4	4																																																							
2024/02/27 10:47:39 PM UTC+1	11	1	real	5	TRUE	4	4	3	4	5																																																							
2024/02/27 10:47:39 PM UTC+2	11	2	generated	5	TRUE	5	5	3	5	3	There's no mention of Kulu-Ya-Ku in the description. 																																																						
2024/02/27 10:47:39 PM UTC+3	11	3	real	5	TRUE	5	5	4	5	5	Lavasioth is not as dangerous as elder dragons, and three elder dragons make a hard quest, not a medium quest.																																																						
2024/02/27 10:47:39 PM UTC+4	11	4	generated	5	TRUE	4	3	3	5	5	Deviljho and "easy" in the same quest ?																																																						
2024/02/27 10:47:39 PM UTC+5	11	5	real	5	TRUE	5	5	3	5	5	"Hunt all target monsters" doesn't suit for this quest since there's only one target. 																																																						
2024/02/27 10:47:39 PM UTC+6	11	6	generated	5	TRUE	5	5	5	5	5																																																							
2024/02/27 10:47:39 PM UTC+7	11	7	real	5	TRUE	5	5	5	5	5																																																							
2024/02/27 10:47:39 PM UTC+8	11	8	generated	5	TRUE	5	5	3	5	5	7 Diablos, why not, but the quest takes place in an arena, and the description says they're in the jungle, where Diablos don't live.																																																						
2024/02/27 10:47:39 PM UTC+9	11	9	real	5	TRUE	5	5	2	5	5	Rajang is not easy at all, and asking the player to slay a very hard monster OR a very easy one is not coherent.																																																						
2024/02/27 10:47:39 PM UTC+10	11	10	generated	5	TRUE	5	5	3	5	5	The description suits an arena quest, not a common quest in the jungle, and Royal Ludroth is not that hard.																																																						
2024/02/27 11:08:38 PM UTC+1	12	1	real	1	FALSE	2	4	3	3	2																																																							
2024/02/27 11:08:38 PM UTC+2	12	2	generated	1	FALSE	5	5	4	5	3																																																							
2024/02/27 11:08:38 PM UTC+3	12	3	real	1	FALSE	5	5	5	5	3																																																							
2024/02/27 11:08:38 PM UTC+4	12	4	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/27 11:08:38 PM UTC+5	12	5	real	1	FALSE	5	5	5	5	2																																																							
2024/02/27 11:08:38 PM UTC+6	12	6	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/27 11:08:38 PM UTC+7	12	7	real	1	FALSE	5	5	5	5	5																																																							
2024/02/27 11:08:38 PM UTC+8	12	8	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/27 11:08:38 PM UTC+9	12	9	real	1	FALSE	5	5	5	5	5																																																							
2024/02/27 11:08:38 PM UTC+10	12	10	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/28 8:39:44 AM UTC+1	13	1	real	1	FALSE	4	2	5	5	4																																																							
2024/02/28 8:39:44 AM UTC+2	13	2	generated	1	FALSE	5	5	4	5	5																																																							
2024/02/28 8:39:44 AM UTC+3	13	3	real	1	FALSE	5	5	5	5	3																																																							
2024/02/28 8:39:44 AM UTC+4	13	4	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/28 8:39:44 AM UTC+5	13	5	real	1	FALSE	5	5	5	5	3																																																							
2024/02/28 8:39:44 AM UTC+6	13	6	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/28 8:39:44 AM UTC+7	13	7	real	1	FALSE	5	5	5	5	5																																																							
2024/02/28 8:39:44 AM UTC+8	13	8	generated	1	FALSE	4	5	3	4	3																																																							
2024/02/28 8:39:44 AM UTC+9	13	9	real	1	FALSE	5	5	5	5	5																																																							
2024/02/28 8:39:44 AM UTC+10	13	10	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/28 11:10:00 AM UTC+1	14	1	real	1	FALSE	4	4	5	4	5																																																							
2024/02/28 11:10:00 AM UTC+2	14	2	generated	1	FALSE	5	5	3	4	3																																																							
2024/02/28 11:10:00 AM UTC+3	14	3	real	1	FALSE	5	5	4	5	4																																																							
2024/02/28 11:10:00 AM UTC+4	14	4	generated	1	FALSE	5	4	3	5	4																																																							
2024/02/28 11:10:00 AM UTC+5	14	5	real	1	FALSE	4	4	2	4	3																																																							
2024/02/28 11:10:00 AM UTC+6	14	6	generated	1	FALSE	5	4	4	4	4																																																							
2024/02/28 11:10:00 AM UTC+7	14	7	real	1	FALSE	5	5	5	5	5																																																							
2024/02/28 11:10:00 AM UTC+8	14	8	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/28 11:10:00 AM UTC+9	14	9	real	1	FALSE	5	4	5	4	5																																																							
2024/02/28 11:10:00 AM UTC+10	14	10	generated	1	FALSE	5	5	5	5	5																																																							
2024/02/28 2:23:07 PM UTC+1	15	1	real	5	TRUE	4	5	5	3	1	No quest/reward fee No local info No limitations info  Flavour text is a bit mid. Heavily american yet synthetic. Localisation of the MH games is quite good at staying nutral when it comes to english. Localisation uses steriotypes and accents to give a personal touch to the quest's flavour text but not to this extent.																																																						
2024/02/28 2:23:07 PM UTC+2	15	2	generated	5	TRUE	5	5	1	5	1	No quest/reward fee No local info No limitations info  Pink Rathians don't turn purple in any conditions - this even isn't one of the typical mistakes non-hunters make about monsters. Also, why is Kulu-Ya-Ku in the quest as a target? It's never mentioned in the flavour text.																																																						
2024/02/28 2:23:07 PM UTC+3	15	3	real	5	TRUE	5	5	3	5	1	No quest/reward fee No local info No limitations info  Monster selection is awkward here. 3 Elder Dragons and a lavasioth? Could be good for a troll quest like the old MH games used to have but the flavour text is very serious so this doesn't work.  Also not sure if more than 2 eldar dragons on a singular quest has been done in a MH game before.  Also just realised - no quest fee and no reward fee in quest desciptions																																																						
2024/02/28 2:23:07 PM UTC+4	15	4	generated	5	TRUE	5	5	2	4	3	 No quest/reward fee No local info No limitations info Quest difficuly is easy for a Devil Jho? Should be at least high.  Quest flavour text seems to imply there is a Board member in the location the quest takes place.  No mention of having the distract the Devil Jho/kill it so member can be retrieved. Just sundenly say "kill the beast". Moreover one could easily infer that the board member is the Devil Jho. Yet we are sent to locate the board member perhaps?  Quest desciption is very confusing.  "May or may not have been seen" if you're not sure why do we need to hunt Devil Jho before locating member? "taking this matter seriously" what matter? Than a boad member is in the forest?  "Contacting our other members should we learn of their location" perhaps this is part of a quest line locating board members? But they need to informed of this incident yet they are missing too?  Very confused. Would say this is generated using AI.																																																						
2024/02/28 2:23:07 PM UTC+5	15	5	real	5	TRUE	5	5	4	5	1	No quest/reward fee No local info No limitations info  Passable - could do with mention that Tigrex is the imagination but is an easy connection to make so is fine.																																																						
2024/02/28 2:23:07 PM UTC+6	15	6	generated	5	TRUE	5	5	1	4	1	No quest/reward fee No local info No limitations info Difficulty hard for uragaan is a bit much (perhaps a tempered/frenzy/qurio uragaan would work)  Ok quest desciption is just bad here.  The "commander of this expedition" is implied to be the monster. Obviously wrong. Uragaan is not a subspecies it's the regular version.  Suspicions of IA are getting higher																																																						
2024/02/28 2:23:07 PM UTC+7	15	7	real	5	TRUE	5	5	4	4	1	No quest/reward fee No local info No limitations info  Also missing everomwntal info actually! Such as stable or unstable. What kind of small monsters are around etc...  Quest descpition is better - can kinda make sense here although themes implied are not used in the MH series like this																																																						
